Kidhome,Teenhome,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Customer_Days,marital_Divorced,marital_Married,marital_Single,marital_Together,marital_Widow,education_2n Cycle,education_Basic,education_Graduation,education_Master,education_PhD,AcceptedCmpOverall,Income_z,NumTotalPurchases,MeanAmtPerPurchase_z,MeanAmtPerPurchase_log,MntMeatProducts_ratio,MntFishProducts_ratio,MntSweetProducts_ratio,MntFruits_ratio,MntGoldProds_ratio,MntWines_ratio,MntRegularProds_ratio
0,0,58,3,8,10,4,7,0,0,0,0,0,0,1,63,2822,0,0,1,0,0,0,0,1,0,0,0,0.3146508552517786,25,1.1412233618387408,1.7935110057928578,0.3570961412688031,0.11249182472204054,0.05755395683453238,0.05755395683453238,0.05755395683453238,0.41530412034009156,0.9424460431654677
1,1,38,2,1,1,2,5,0,0,0,0,0,0,0,66,2272,0,0,1,0,0,0,0,1,0,0,0,-0.25487740891904376,6,-0.9616711017205882,0.6532125137753437,0.2857142857142857,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.2857142857142857,0.5238095238095238,0.7142857142857143
0,0,26,1,8,2,10,4,0,0,0,0,0,0,0,55,2471,0,0,0,1,0,0,0,1,0,0,0,0.9653540398966685,21,0.18541592170155544,1.555727656895269,0.17302452316076294,0.15122615803814715,0.02861035422343324,0.0667574931880109,0.05722070844686648,0.5803814713896458,0.9427792915531336
1,0,26,2,2,0,4,6,0,0,0,0,0,0,0,36,2298,0,0,0,1,0,0,0,1,0,0,0,-1.2060871551999373,8,-0.8704946161344224,0.8450980400142568,0.4166666666666667,0.20833333333333334,0.0625,0.08333333333333333,0.10416666666666667,0.22916666666666666,0.8958333333333334
1,0,94,5,5,3,6,5,0,0,0,0,0,0,0,39,2320,0,1,0,0,0,0,0,0,0,1,0,0.3221357527374898,19,-0.30807966293975714,1.35065599814989,0.28992628992628994,0.11302211302211303,0.06633906633906633,0.10565110565110565,0.036855036855036855,0.4250614250614251,0.9631449631449631
0,1,16,2,6,4,10,6,0,0,0,0,0,0,0,53,2452,0,0,0,1,0,0,0,0,1,0,0,0.525918122993626,22,0.0744253253949329,1.5173158853749407,0.1396011396011396,0.0,0.05982905982905983,0.05982905982905983,0.019943019943019943,0.7407407407407407,0.98005698005698
0,1,34,4,7,3,7,6,0,0,0,0,0,0,0,49,2752,1,0,0,0,0,0,0,1,0,0,0,0.19378183327284285,21,-0.1115589170648132,1.4441935523784801,0.2912966252220249,0.08880994671403197,0.08703374777975133,0.11545293072824156,0.047957371225577264,0.41740674955595025,0.9520426287744227
1,0,32,2,4,0,4,8,0,0,0,0,0,0,0,35,2576,0,1,0,0,0,0,0,0,0,1,0,-0.8773311417630237,10,-0.5568475057180118,1.1931245983544616,0.3835616438356164,0.02054794520547945,0.00684931506849315,0.0684931506849315,0.15753424657534246,0.5205479452054794,0.8424657534246576
1,0,19,1,3,0,2,9,0,0,0,0,0,0,1,46,2547,0,0,0,1,0,0,0,0,0,1,0,-1.0271739604608414,6,-0.8218671571551339,0.9208187539523751,0.5454545454545454,0.06818181818181818,0.06818181818181818,0.0,0.045454545454545456,0.3181818181818182,0.9545454545454546
1,1,68,1,1,0,0,20,1,0,0,0,0,0,0,70,2267,0,0,0,1,0,0,0,0,0,1,1,-2.2200734610384085,2,-0.43284748532082623,1.2787536009528289,0.16666666666666666,0.027777777777777776,0.027777777777777776,0.0,0.3611111111111111,0.7777777777777778,0.6388888888888888
0,0,59,1,2,0,3,8,0,0,0,0,0,0,0,44,2752,0,1,0,0,0,0,1,0,0,0,0,-2.1306410084994596,6,-0.8157887247827228,0.9294189257142927,0.24444444444444444,0.24444444444444444,0.022222222222222223,0.35555555555555557,0.35555555555555557,0.13333333333333333,0.6444444444444445
0,0,82,1,3,4,8,2,0,0,0,0,0,0,0,61,2385,1,0,0,0,0,0,0,1,0,0,0,0.5510287468166569,16,1.3542116321680244,1.8325089127062364,0.44776119402985076,0.20988805970149255,0.1044776119402985,0.05690298507462686,0.027985074626865673,0.18097014925373134,0.9720149253731343
1,1,53,3,6,1,5,6,0,0,0,0,0,0,0,68,2385,1,0,0,0,0,0,0,0,1,0,0,0.37337108326871266,15,-0.3696317886477512,1.3166691299711564,0.17905405405405406,0.010135135135135136,0.016891891891891893,0.006756756756756757,0.0472972972972973,0.7871621621621622,0.9527027027027027
0,0,38,1,1,0,3,8,0,0,0,0,0,0,0,33,2786,0,1,0,0,0,0,0,1,0,0,0,-1.6562916665501641,5,-0.7902593088185964,0.9637878273455552,0.4146341463414634,0.14634146341463414,0.024390243902439025,0.34146341463414637,0.12195121951219512,0.07317073170731707,0.8780487804878049
0,0,23,1,7,6,12,3,0,0,1,1,0,0,1,74,2741,0,0,1,0,0,0,0,0,0,1,2,1.5055704797202218,26,0.692130075296174,1.6976316535637566,0.09055118110236221,0.046456692913385826,0.05354330708661417,0.01732283464566929,0.03543307086614173,0.7921259842519685,0.9645669291338582
1,1,51,3,3,0,3,8,0,0,0,0,0,0,0,40,2711,0,1,0,0,0,0,0,1,0,0,0,-0.47189114634346935,9,-0.7165076627000089,1.0500788643433177,0.20652173913043478,0.021739130434782608,0.14130434782608695,0.05434782608695652,0.043478260869565216,0.5760869565217391,0.9565217391304348
0,0,20,2,4,1,6,7,0,0,0,0,0,0,0,74,2826,0,0,0,1,0,0,0,1,0,0,0,-0.6693958606438478,13,-0.27854881740577636,1.3660635906503138,0.1314878892733564,0.5190311418685121,0.04152249134948097,0.01730103806228374,0.09688581314878893,0.2906574394463668,0.903114186851211
0,1,91,2,11,4,9,5,0,0,0,1,0,0,0,71,2617,0,1,0,0,0,0,0,0,1,0,1,1.2252489964650393,26,1.1634423700185081,1.7977468064470243,0.31008717310087175,0.0,0.009962640099626401,0.049813200498132,0.1095890410958904,0.6301369863013698,0.8904109589041096
1,0,86,2,2,1,3,6,0,0,0,0,0,0,0,35,2762,0,0,1,0,0,1,0,0,0,0,0,-0.8600434430540909,8,-0.6607886992862408,1.105510184769974,0.20212765957446807,0.3191489361702128,0.2553191489361702,0.18085106382978725,0.4148936170212766,0.0425531914893617,0.5851063829787234
0,0,41,1,4,2,5,8,0,0,0,0,0,0,0,38,2849,0,1,0,0,0,0,0,1,0,0,0,-0.7041644167065061,12,-0.2748082436381388,1.3679767852945943,0.27238805970149255,0.2574626865671642,0.1417910447761194,0.007462686567164179,0.1791044776119403,0.3208955223880597,0.8208955223880597
1,0,42,15,0,28,0,1,0,0,0,0,0,0,0,41,2698,0,1,0,0,0,0,0,1,0,0,0,-2.3746486665336435,43,0.3771389680260426,1.6149952619714454,0.9976865240023135,0.000578368999421631,0.000578368999421631,0.000578368999421631,0.000578368999421631,0.000578368999421631,0.9994216310005783
0,1,63,3,2,3,9,8,0,1,0,0,0,0,0,71,2712,0,1,0,0,0,0,0,0,0,1,1,0.3372987063537046,17,0.9551804246615105,1.7563228128879709,0.09024134312696747,0.0,0.0,0.0,0.01993704092339979,0.9097586568730325,0.9800629590766002
0,1,0,3,6,2,9,4,0,0,0,0,0,0,0,66,2328,0,1,0,0,0,0,0,0,0,1,0,0.6616603606215877,20,-0.10643566692235251,1.446381812222442,0.18923933209647495,0.03896103896103896,0.059369202226345084,0.0,0.00927643784786642,0.712430426716141,0.9907235621521335
0,1,69,7,7,1,5,8,0,0,0,0,0,0,0,69,2627,0,0,0,1,0,0,0,1,0,0,0,-0.5279554429945058,20,-0.460200430996676,1.2612628687924936,0.0782608695652174,0.11304347826086956,0.017391304347826087,0.008695652173913044,0.28695652173913044,0.782608695652174,0.7130434782608696
0,0,89,2,2,1,3,7,0,0,0,0,0,0,0,51,2702,0,0,1,0,0,0,0,1,0,0,0,-1.5951569554733234,8,-0.8066710762241063,0.9420080530223133,0.4032258064516129,0.24193548387096775,0.1935483870967742,0.06451612903225806,0.20967741935483872,0.0967741935483871,0.7903225806451613
1,1,4,4,5,1,4,7,0,0,0,0,0,0,0,44,2557,0,1,0,0,0,0,0,1,0,0,0,0.08387456438588409,14,-0.5266290133523112,1.2155998003393549,0.1388888888888889,0.013888888888888888,0.027777777777777776,0.018518518518518517,0.18981481481481483,0.8009259259259259,0.8101851851851852
1,0,26,2,2,1,4,3,0,0,0,0,0,0,0,31,2553,0,1,0,0,0,0,0,1,0,0,0,-0.6404220639249658,9,-0.5989913035000618,1.159700842867512,0.34710743801652894,0.1652892561983471,0.17355371900826447,0.01652892561983471,0.08264462809917356,0.2975206611570248,0.9173553719008265
0,0,96,1,6,9,10,2,0,0,1,0,0,0,0,55,2378,0,1,0,0,0,0,0,0,0,1,1,1.5933610837784342,26,1.2560215707675382,1.8149643379371159,0.47906698564593303,0.012559808612440191,0.039473684210526314,0.05980861244019139,0.0,0.4090909090909091,1.0
0,0,34,2,3,0,3,5,0,0,0,0,0,0,0,31,2197,1,0,0,0,0,0,0,0,1,0,0,-1.9626412771911423,8,-0.9707887502792047,0.6283889300503115,0.38461538461538464,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.15384615384615385,0.3076923076923077,0.8461538461538461
0,0,56,1,2,5,3,3,0,0,0,0,0,0,0,57,2573,0,0,0,1,0,0,0,0,1,0,0,-0.6278667520134503,11,-0.33006671975096663,1.338818556553381,0.19213973799126638,0.14847161572052403,0.09606986899563319,0.07423580786026202,0.388646288209607,0.4890829694323144,0.611353711790393
0,1,31,2,2,1,4,5,0,1,0,0,0,0,0,50,2786,0,0,0,1,0,0,0,1,0,0,1,-0.5347642852234431,9,-0.6152004564931579,1.146128035678238,0.042735042735042736,0.017094017094017096,0.0,0.0,0.02564102564102564,0.9401709401709402,0.9743589743589743
0,2,8,6,4,1,6,6,0,0,0,0,0,0,1,68,2767,1,0,0,0,0,0,0,0,0,1,0,-0.24203235904033943,17,-0.5336779517337626,1.2104601606869438,0.37065637065637064,0.1274131274131274,0.08494208494208494,0.04633204633204633,0.16602316602316602,0.37065637065637064,0.833976833976834
0,0,4,1,3,5,9,7,0,0,0,0,0,0,0,74,2653,0,1,0,0,0,0,0,0,1,0,0,0.8226098013949769,18,1.2893750201956402,1.8210037503009116,0.40119250425894376,0.10136286201022146,0.05792163543441227,0.028960817717206135,0.018739352640545145,0.41056218057921634,0.9812606473594548
1,1,55,1,2,0,3,7,0,0,0,0,0,0,0,69,2463,0,0,1,0,0,0,0,0,1,0,0,-0.10783539057071798,6,-0.7124553744517348,1.0543576623225928,0.3064516129032258,0.03225806451612903,0.016129032258064516,0.0,0.04838709677419355,0.6451612903225806,0.9516129032258065
0,1,37,5,5,6,12,2,0,0,0,0,0,0,0,50,2339,0,1,0,0,0,0,0,0,0,1,0,0.7596400831926068,28,0.05429545195383134,1.509970166334594,0.17198177676537585,0.0,0.009111617312072893,0.0193621867881549,0.03986332574031891,0.7995444191343963,0.9601366742596811
1,0,76,3,3,1,2,7,0,0,0,0,0,0,0,44,2459,0,1,0,0,0,1,0,0,0,0,0,-1.347479283188081,9,-0.9069652103688887,0.7781512503836436,0.3111111111111111,0.3333333333333333,0.15555555555555556,0.06666666666666667,0.8,0.13333333333333333,0.2
0,1,99,2,1,1,3,5,0,0,0,0,0,0,0,47,2297,0,0,0,0,1,0,0,1,0,0,0,-0.44393143250974826,7,-0.7610828334310233,1.0,0.09523809523809523,0.031746031746031744,0.0,0.0,0.06349206349206349,0.873015873015873,0.9365079365079365
0,0,53,2,7,10,5,6,1,0,0,0,0,0,1,77,2672,1,0,0,0,0,0,0,0,0,1,1,-0.1291311311590962,24,0.21754477852715695,1.5662410233014672,0.23953488372093024,0.18604651162790697,0.056976744186046514,0.009302325581395349,0.04883720930232558,0.5081395348837209,0.9511627906976744
0,1,3,2,8,6,5,4,0,0,0,0,0,0,0,40,2585,0,1,0,0,0,0,0,1,0,0,0,1.370890614638619,21,1.1562284063237787,1.7963760704898426,0.41453982985305493,0.0634184068058778,0.13766434648105183,0.05877803557617943,0.07888631090487239,0.32559938128383603,0.9211136890951276
1,0,88,2,2,0,3,8,0,0,0,0,0,0,0,35,2633,0,1,0,0,0,0,0,0,1,0,0,-1.5000263229129944,7,-0.8496542765718702,0.8791778295865322,0.6304347826086957,0.06521739130434782,0.0,0.021739130434782608,0.15217391304347827,0.2826086956521739,0.8478260869565217
0,1,4,1,0,0,3,5,0,0,0,0,0,0,0,63,2711,0,0,0,1,0,0,0,1,0,0,0,-1.4307306590936684,4,-0.9160828589275053,0.7596678446896304,0.3157894736842105,0.15789473684210525,0.05263157894736842,0.0,0.15789473684210525,0.47368421052631576,0.8421052631578947
